Code gare;Intitul̩ gare;Nombre plateformes;Segment DRG;UIC;Unit̩ gare;TVS;Code postal;Commune;D̩partement - Commune;D̩partement;R̩gion;Agence G&C;R̩gion SNCF;Niveau de service;Longitude WGS 84;Latitude WGS 84;Date fin validit̩ gare
1;Lyc̩e Henri Sellier;1;b;87988717;;LHS;93190;Livry-Gargan;93-046;Seine-Saint-Denis;�_le-de-France;AG Ile-de-France;REGION DE PARIS-EST;;2.51504;48.91646;
2;Remise �� Jorelle;1;b;87988709;;RJL;93140;Bondy;93-010;Seine-Saint-Denis;�_le-de-France;AG Ile-de-France;REGION DE PARIS-EST;;2.487751;48.893170;
4;Cerb̬re;1;c;87785006;;CER;66290;Cerb̬re;66-048;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1634033;42.4417732;
5;Bena Fanes;1;c;87784892;;BFA;66760;Enveitg;66-066;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9167264;42.4580782;
6;Ur les Escaldes;1;c;87784884;;URL;66760;Ur;66-218;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9404821;42.457481;
7;Bourg-Madame;1;c;87784876;;BMD;66760;Bourg-Madame;66-025;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9486704;42.4324069;
8;Oss̩ja;1;c;87784868;;OSA;66340;Oss̩ja;66-130;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9771166;42.4199665;
9;Sainte-L̩ocadie;1;c;87784850;;XLE;66800;Sainte-L̩ocadie;66-181;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0104348;42.4411844;
10;Err;1;c;87784843;;ERR;66800;Err;66-067;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0290375;42.442777;
11;Saillagouse;1;c;87784835;;SGW;66800;Saillagouse;66-167;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0321126;42.4568855;
12;Estavar;1;c;87784827;;EAA;66800;Estavar;66-072;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0179071;42.4632434;
13;Font-Romeu-Odeillo-Via;1;c;87784819;;FRM;66120;Font-Romeu-Odeillo-Via;66-124;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0383917;42.4912317;
14;Bolqu̬re - Eyne;1;c;87784801;;BQE;66210;Cabanasse;66-027;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0875591;42.4978734;
15;Mont-Louis - La Cabanasse;1;c;87784793;;MTC;66210;Cabanasse;66-027;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1131379;42.5020902;
16;Plan̬s;1;c;87784785;;PNW;66210;Plan̬s;66-142;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1369269;42.5009185;
17;Sauto;1;c;87784777;;TOX;66210;Sauto;66-192;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1600389;42.5063705;
18;Fontp̩drouse Saint-Thomas les Bains;1;c;87784769;;FTB;66360;Fontp̩drouse;66-080;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1886585;42.5138062;
19;Thu̬s Caren̤a;1;c;87784751;;THG;66360;Thu̬s-Entre-Valls;66-209;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.2227279;42.5229486;
20;Thu̬s les Bains;1;c;87784744;;THB;66360;Canaveilles;66-036;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.249094;42.5288009;
21;Nyer;1;c;87784736;;NYE;66360;Nyer;66-123;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.2630177;42.5416979;
22;Olette - Canaveilles les Bains;1;c;87784728;;OLE;66360;Olette;66-125;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.2719309;42.55472;
23;Joncet;1;c;87784710;;JCT;66193;Serdinya;66-193;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.3111464;42.5615245;
24;Serdinya;1;c;87784702;;ZDI;66360;Serdinya;66-193;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.3230869;42.567023;
25;Villefranche - Vernet-les-Bains;1;b;87784686;;VVB;66820;Villefranche-de-Conflent;66-223;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.370396;42.591998;
26;Ria;1;c;87784660;;RAJ;66500;Ria-Sirach;66-161;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.3907488;42.6034078;
27;Prades - Molitg-les-Bains;1;c;87784637;;PDS;66500;Prades;66-149;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.4294184;42.6170988;
28;Marquixanes;1;c;87784629;;MQG;66320;Marquixanes;66-103;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.4858388;42.6428224;
29;Vin̤a;1;c;87784611;;VCA;66320;Vin̤a;66-230;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.5276163;42.6481368;
30;Ille-sur-T̻t;1;c;87784561;;ILL;66130;Ille-sur-T̻t;66-088;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.6242863;42.6682396;
31;Millas;1;c;87784546;;MYR;66170;Millas;66-108;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.6937502;42.6888961;
32;Saint-F̩liu-d'Avall;1;c;87784520;;FDL;66170;Saint-F̩liu-d'Avall;66-174;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.7378217;42.6772874;
33;Le Soler;1;c;87784512;;LSL;66270;Soler;66-195;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.7930798;42.6787626;
34;Banyuls-sur-Mer;1;c;87784298;;BAN;66650;Banyuls-sur-Mer;66-016;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1250496;42.4829582;
35;Port-Vendres;1;c;87784264;;POV;66660;Port-Vendres;66-148;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1025762;42.5136077;
36;Collioure;1;c;87784256;;COX;66190;Collioure;66-053;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.0782319;42.5269437;
37;Argel̬s-sur-Mer;1;b;87784231;;AMR;66700;Argel̬s-sur-Mer;66-008;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.022349;42.543970;
38;Elne;1;c;87784207;;ELN;66200;Elne;66-065;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.9635851;42.5971138;
39;Rivesaltes;1;c;87784173;;RVT;66600;Rivesaltes;66-164;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.86789;42.7664405;
40;Salses;1;c;87784157;;SAL;66600;Salses-le-Ch̢teau;66-190;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.9174466;42.8356091;
41;Perpignan;1;a;87784009;;PPN;66027;Perpignan;66-136;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2; 2.879779;42.696292;
42;Laissac;1;c;87783761;;LVY;12310;Laissac;12-120;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION MIDI PYRENEES;1;2.8222251;44.3750307;
43;Belvezet;1;c;87783670;;BVZ;48170;Belvezet;48-023;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.7518919;44.5617971;
44;Allenc;1;c;87783654;;AEN;48190;Allenc;48-003;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.6638926;44.541296;
45;Bagnols - Chadenet;1;c;87783647;;BCT;48190;Allenc;48-003;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.628178;44.5286125;
46;Mende;1;c;87783605;;MDE;48000;Mende;48-095;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.5019875;44.522322;
47;Barjac;1;c;87783563;;BJC;48000;Barjac;48-018;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.4109786;44.4992638;
48;Le Bruel;1;c;87783548;;BWQ;48056;Esclan̬des;48-056;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.358325;44.4813286;
49;Chanac;1;c;87783530;;CNA;48230;Chanac;48-039;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.3454117;44.4739786;
